Company,Model,Horsepower,Torque,Transmission Type,Drivetrain,Fuel Economy,Number of Doors,Price,Model Year Range,Body Type,Engine Type,Number of Cylinders
Ferrari,812 Superfast,789 hp,530 lb-ft,7-speed automatic,RWD,13/20 mpg,2,"$366,712",2018 - Present,Coupe,6.5L V12,12
Ferrari,F8 Tributo,710 hp,568 lb-ft,7-speed automatic,RWD,15/19 mpg,2,"$276,550",2020 - Present,Coupe,3.9L V8,8
Ferrari,Roma,611 hp,560 lb-ft,8-speed automatic,RWD,16/24 mpg,2,"$218,750",2021 - Present,Coupe,3.9L V8,8
Ferrari,Portofino M,612 hp,561 lb-ft,8-speed automatic,RWD,16/22 mpg,2,"$254,475",2021 - Present,Convertible,3.9L V8,8
Ferrari,SF90 Stradale,986 hp,590 lb-ft,8-speed automatic,AWD,18 mpg (combined),2,"$625,000",2020 - Present,Coupe,4.0L V8,8
Ferrari,488 Pista,711 hp,568 lb-ft,7-speed automatic,RWD,15/20 mpg,2,"$350,050",2019 - 2020,Coupe,3.9L V8,8
Ferrari,GTC4Lusso,680 hp,514 lb-ft,7-speed automatic,AWD,12/17 mpg,4,"$298,750",2017 - 2020,Hatchback,6.3L V12,12
Ferrari,488 GTB,661 hp,561 lb-ft,7-speed automatic,RWD,15/22 mpg,2,"$262,647",2016 - 2019,Coupe,3.9L V8,8
Ferrari,California T,553 hp,557 lb-ft,7-speed automatic,RWD,16/23 mpg,2,"$202,723",2015 - 2018,Convertible,3.9L V8,8
Ferrari,LaFerrari,950 hp,664 lb-ft,7-speed automatic,RWD,12 mpg (combined),2,"$1,420,000",2014 - 2016,Coupe,6.3L V12,12
Mahindra,XUV300,109 hp,200 Nm,"6-speed Manual, 6-speed AMT",FWD,13-20 km/l,5,Rs. 7.96 - 13.33 Lakh,2019 - present,SUV,"1.2L Turbo Petrol, 1.5L Turbo Diesel",3/4
Mahindra,Scorpio,140 hp,320 Nm,6-speed Manual,RWD,15 km/l,"5, 7",Rs. 12.57 - 16.53 Lakh,2020 - present,SUV,2.2L mHawk Diesel,4
Mahindra,Thar,"152 hp (petrol), 132 hp (diesel)","320 Nm (petrol), 300 Nm (diesel)","6-speed Manual, 6-speed AT",4WD,7-12 km/l,"4, 6",Rs. 12.11 - 16.86 Lakh,2020 - present,SUV,"2.0L Turbo Petrol, 2.2L mHawk Diesel",4
Mahindra,Bolero,75 hp,210 Nm,5-speed Manual,RWD,16 km/l,"5, 7",Rs. 8.67 - 9.39 Lakh,2001 - present,SUV,1.5L mHawk75 Diesel,3
Mahindra,Marazzo,121 hp,300 Nm,6-speed Manual,FWD,17 km/l,"7, 8",Rs. 12.4 - 14.12 Lakh,2018 - present,MPV,1.5L mHawk Diesel,4
Mahindra,Alturas G4,178 hp,420 Nm,7-speed Automatic,AWD,12 km/l,5,Rs. 28.74 - 31.73 Lakh,2018 - present,SUV,2.2L mHawk Diesel,4
Toyota,Camry,203-301 hp,182-267 lb-ft,8-speed automatic,FWD,26-34 mpg,4,"$25,045-$35,130",2018-2021,Sedan,2.5L 4-cylinder / 3.5L V6,4 / 6
Toyota,Corolla,169 hp,151 lb-ft,Continuously variable-speed automatic,FWD,30-33 mpg,4,"$20,025-$25,725",2019-2021,Sedan,2.0L 4-cylinder,4
